cust_id,cust_name,cust_address,cust_status,version,from_date,to_date,insert_datetime
0,Egestas Ligula Industries,sed@icloud.org,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
1,Sem Consequat Incorporated,nibh.sit.amet@protonmail.com,active,1,2000-01-01,2015-04-03,2000-01-01 00:00:00
2,Ipsum Porta Corp.,lacus@hotmail.edu,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
3,Nonummy Ut Inc.,sed.turpis.nec@protonmail.couk,active,1,2000-01-01,2005-09-23,2000-01-01 00:00:00
4,Nec Ante Inc.,ut.quam@google.org,active,1,2000-01-01,2008-12-07,2000-01-01 00:00:00
5,Volutpat Institute,ipsum.sodales@yahoo.net,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
6,Faucibus Orci Company,mauris.blandit@protonmail.com,closed,1,2000-01-01,2015-10-27,2000-01-01 00:00:00
7,Vel LLC,vivamus.rhoncus@outlook.net,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
8,In Foundation,dictum@yahoo.ca,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
9,Ultrices Sit LLC,pede.ac@hotmail.net,closed,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
10,Arcu Vel Industries,iaculis.nec@google.ca,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
11,Ac LLP,scelerisque.sed.sapien@aol.org,active,1,2000-01-01,2016-04-22,2000-01-01 00:00:00
12,Ridiculus Mus Industries,porttitor@outlook.ca,active,1,2000-01-01,2017-02-21,2000-01-01 00:00:00
13,Hendrerit Id PC,nulla.semper@hotmail.org,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
14,Hendrerit Donec Foundation,eget.mollis@aol.org,active,1,2000-01-01,2002-11-23,2000-01-01 00:00:00
15,Orci Foundation,blandit@aol.net,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
16,Maecenas Malesuada Corp.,scelerisque@yahoo.org,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
17,Massa Quisque Industries,justo.faucibus@protonmail.ca,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
18,Augue Porttitor PC,curabitur.ut@google.ca,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
19,Lectus Limited,euismod.ac.fermentum@outlook.edu,closed,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
20,Ut Lacus Nulla Ltd,egestas@google.com,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
21,Sociis Foundation,quam@hotmail.ca,closed,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
22,Eros Proin Corp.,feugiat@google.ca,active,1,2000-01-01,2007-01-21,2000-01-01 00:00:00
23,Ut Odio Industries,diam.eu.dolor@icloud.ca,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
24,Magna Phasellus LLC,sit.amet.orci@google.net,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
25,Urna PC,magnis@google.com,closed,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
26,Velit Egestas Lacinia LLC,gravida.praesent@google.com,active,1,2000-01-01,2000-11-30,2000-01-01 00:00:00
27,Diam LLP,nunc.sollicitudin@aol.couk,active,1,2000-01-01,2007-11-18,2000-01-01 00:00:00
28,Nunc Commodo Auctor LLC,fringilla.ornare@hotmail.com,closed,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
29,Integer Eu Associates,egestas.fusce.aliquet@hotmail.com,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
30,Vulputate Lacus Incorporated,felis.ullamcorper@google.net,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
31,Neque Sed Industries,accumsan.sed@aol.couk,active,1,2000-01-01,2017-03-05,2000-01-01 00:00:00
32,Et Libero Corporation,sodales@aol.edu,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
33,Ut Ipsum Ac LLP,nulla.cras.eu@icloud.net,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
34,Metus Vitae LLC,purus.in@hotmail.couk,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
35,In Aliquet Corp.,mauris.ipsum@google.com,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
36,In Magna PC,class.aptent@aol.edu,closed,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
37,Egestas Rhoncus Proin Ltd,blandit.enim.consequat@outlook.couk,active,1,2000-01-01,2014-04-07,2000-01-01 00:00:00
38,Non Sapien LLP,a@outlook.net,closed,1,2000-01-01,2012-12-19,2000-01-01 00:00:00
39,Etiam Gravida Molestie Ltd,in.tincidunt.congue@protonmail.net,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
40,Sit Amet Lorem Limited,odio.auctor.vitae@hotmail.edu,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
41,Sagittis Lobortis Mauris Institute,pede.malesuada.vel@protonmail.net,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
42,Bibendum Ullamcorper Corp.,sed.dictum@outlook.ca,active,1,2000-01-01,2001-07-01,2000-01-01 00:00:00
43,Amet Consectetuer Corporation,quam.vel@aol.edu,closed,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
44,A Facilisis PC,bibendum.fermentum@google.org,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
45,Purus Gravida Sagittis Ltd,eu.ultrices.sit@yahoo.com,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
46,Duis Consulting,sem.pellentesque.ut@hotmail.net,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
47,Pellentesque Tellus LLP,dolor.nonummy@yahoo.edu,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
48,Ligula Inc.,nec.orci.donec@google.org,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
49,Tristique PC,risus.nunc.ac@outlook.edu,active,1,2000-01-01,2015-02-10,2000-01-01 00:00:00
50,At Risus Nunc Industries,sem.nulla.interdum@icloud.edu,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
51,Ornare Sagittis LLC,cras.convallis@outlook.couk,active,1,2000-01-01,2013-07-30,2000-01-01 00:00:00
52,Duis Volutpat Consulting,pellentesque.habitant@outlook.net,closed,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
53,Arcu Morbi PC,varius@yahoo.couk,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
54,Fringilla Consulting,egestas@aol.org,closed,1,2000-01-01,2009-04-01,2000-01-01 00:00:00
55,Leo Morbi Neque Incorporated,sed@outlook.org,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
56,Lorem Ipsum Dolor Institute,a.auctor@aol.org,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
57,Auctor Odio A Company,mauris.a@icloud.org,active,1,2000-01-01,2019-03-29,2000-01-01 00:00:00
58,Ac Libero Nec PC,libero@outlook.couk,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
59,Porttitor Scelerisque Neque Foundation,purus.sapien.gravida@icloud.net,active,1,2000-01-01,2015-04-15,2000-01-01 00:00:00
60,A Company,magnis.dis.parturient@yahoo.couk,closed,1,2000-01-01,2000-04-12,2000-01-01 00:00:00
61,A Ultricies Industries,praesent@icloud.org,active,1,2000-01-01,2006-12-25,2000-01-01 00:00:00
62,Nec Euismod Incorporated,tellus.suspendisse@yahoo.net,active,1,2000-01-01,2015-02-12,2000-01-01 00:00:00
63,Gravida Aliquam Foundation,praesent.luctus@aol.couk,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
64,Pede Limited,phasellus.fermentum@google.couk,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
65,Ipsum LLC,mus.aenean@protonmail.org,active,1,2000-01-01,2018-12-20,2000-01-01 00:00:00
66,Et Ultrices LLP,euismod.enim@protonmail.com,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
67,Aliquet Magna LLP,molestie.arcu@aol.net,active,1,2000-01-01,2007-02-08,2000-01-01 00:00:00
68,Aliquet Molestie Limited,amet.consectetuer@google.org,active,1,2000-01-01,2012-04-27,2000-01-01 00:00:00
69,Massa Quisque Corporation,vitae.risus@icloud.org,active,1,2000-01-01,2021-03-21,2000-01-01 00:00:00
70,Donec Felis Industries,pellentesque.habitant@icloud.edu,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
71,Risus Nulla Institute,nulla.aliquet@yahoo.org,active,1,2000-01-01,2019-08-22,2000-01-01 00:00:00
72,Est Nunc Incorporated,sociosqu.ad@outlook.couk,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
73,Donec Nibh Quisque Ltd,ante.iaculis.nec@protonmail.couk,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
74,Feugiat Non Incorporated,erat.eget@outlook.com,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
75,Lobortis Risus In Corp.,risus.at@aol.ca,active,1,2000-01-01,2007-04-29,2000-01-01 00:00:00
76,Nibh Dolor Industries,nullam.enim.sed@google.edu,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
77,Et Netus Et PC,sapien.aenean@outlook.org,active,1,2000-01-01,2007-03-23,2000-01-01 00:00:00
78,Congue Elit PC,gravida.aliquam@aol.edu,closed,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
79,Aliquet Odio Corp.,et@hotmail.edu,active,1,2000-01-01,2013-02-28,2000-01-01 00:00:00
80,Phasellus LLC,leo.elementum.sem@protonmail.net,closed,1,2000-01-01,2019-12-24,2000-01-01 00:00:00
81,Quam Quis Industries,erat.neque@yahoo.couk,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
82,Venenatis Foundation,aliquam.nec.enim@outlook.couk,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
83,Egestas Nunc Consulting,urna.nec@google.ca,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
84,Nunc Pulvinar Limited,a.magna@protonmail.couk,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
85,Enim Nec Associates,vestibulum@yahoo.ca,closed,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
86,Aliquam Enim Incorporated,natoque.penatibus@hotmail.couk,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
87,Fusce Foundation,adipiscing.fringilla@outlook.com,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
88,Mi Felis Corporation,lectus.pede@aol.ca,active,1,2000-01-01,2014-02-09,2000-01-01 00:00:00
89,Consectetuer Rhoncus Corp.,eget@hotmail.com,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
90,Sem Consulting,molestie.tellus.aenean@yahoo.couk,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
91,Tempor Lorem Eget Limited,aliquam@icloud.ca,closed,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
92,Et Foundation,montes.nascetur.ridiculus@outlook.net,active,1,2000-01-01,2001-08-13,2000-01-01 00:00:00
93,Enim LLP,vestibulum.mauris@outlook.org,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
94,Curabitur Foundation,cum.sociis.natoque@outlook.couk,active,1,2000-01-01,2017-07-06,2000-01-01 00:00:00
95,Feugiat Lorem Ipsum Associates,ligula.nullam.feugiat@aol.couk,closed,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
96,Felis Orci LLP,neque.tellus@yahoo.org,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
97,Ridiculus Mus Proin LLP,tempor.est@outlook.ca,closed,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
98,Auctor Ullamcorper Nisl Foundation,duis.at@yahoo.ca,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
99,Magnis Dis Parturient Limited,in.ornare@hotmail.edu,active,1,2000-01-01,9999-01-01,2000-01-01 00:00:00
1,Sem Consequat Incorporated (V2),nibh.sit.amet@protonmail.com,active,2,2015-04-03,9999-01-01,2015-04-02 00:00:00
3,Nonummy Ut Inc. (V2),sed.turpis.nec@protonmail.couk,active,2,2005-09-23,9999-01-01,2005-09-22 00:00:00
4,Nec Ante Inc. (V2),ut.quam@google.org,active,2,2008-12-07,9999-01-01,2008-12-06 00:00:00
6,Faucibus Orci Company (V2),mauris.blandit@protonmail.com,closed,2,2015-10-27,9999-01-01,2015-10-26 00:00:00
11,Ac LLP (V2),scelerisque.sed.sapien@aol.org,active,2,2016-04-22,9999-01-01,2016-04-21 00:00:00
12,Ridiculus Mus Industries (V2),porttitor@outlook.ca,active,2,2017-02-21,9999-01-01,2017-02-20 00:00:00
14,Hendrerit Donec Foundation (V2),eget.mollis@aol.org,active,2,2002-11-23,9999-01-01,2002-11-22 00:00:00
22,Eros Proin Corp. (V2),feugiat@google.ca,active,2,2007-01-21,9999-01-01,2007-01-20 00:00:00
26,Velit Egestas Lacinia LLC (V2),gravida.praesent@google.com,active,2,2000-11-30,2016-03-31,2000-11-29 00:00:00
27,Diam LLP (V2),nunc.sollicitudin@aol.couk,active,2,2007-11-18,9999-01-01,2007-11-17 00:00:00
31,Neque Sed Industries (V2),accumsan.sed@aol.couk,active,2,2017-03-05,9999-01-01,2017-03-04 00:00:00
37,Egestas Rhoncus Proin Ltd (V2),blandit.enim.consequat@outlook.couk,active,2,2014-04-07,9999-01-01,2014-04-06 00:00:00
38,Non Sapien LLP (V2),a@outlook.net,closed,2,2012-12-19,9999-01-01,2012-12-18 00:00:00
42,Bibendum Ullamcorper Corp. (V2),sed.dictum@outlook.ca,active,2,2001-07-01,9999-01-01,2001-06-30 00:00:00
49,Tristique PC (V2),risus.nunc.ac@outlook.edu,active,2,2015-02-10,9999-01-01,2015-02-09 00:00:00
51,Ornare Sagittis LLC (V2),cras.convallis@outlook.couk,active,2,2013-07-30,9999-01-01,2013-07-29 00:00:00
54,Fringilla Consulting (V2),egestas@aol.org,closed,2,2009-04-01,2009-05-31,2009-03-31 00:00:00
57,Auctor Odio A Company (V2),mauris.a@icloud.org,active,2,2019-03-29,2021-03-14,2019-03-28 00:00:00
59,Porttitor Scelerisque Neque Foundation (V2),purus.sapien.gravida@icloud.net,active,2,2015-04-15,9999-01-01,2015-04-14 00:00:00
60,A Company (V2),magnis.dis.parturient@yahoo.couk,closed,2,2000-04-12,2007-10-19,2000-04-11 00:00:00
61,A Ultricies Industries (V2),praesent@icloud.org,active,2,2006-12-25,9999-01-01,2006-12-24 00:00:00
62,Nec Euismod Incorporated (V2),tellus.suspendisse@yahoo.net,active,2,2015-02-12,9999-01-01,2015-02-11 00:00:00
65,Ipsum LLC (V2),mus.aenean@protonmail.org,active,2,2018-12-20,9999-01-01,2018-12-19 00:00:00
67,Aliquet Magna LLP (V2),molestie.arcu@aol.net,active,2,2007-02-08,9999-01-01,2007-02-07 00:00:00
68,Aliquet Molestie Limited (V2),amet.consectetuer@google.org,active,2,2012-04-27,9999-01-01,2012-04-26 00:00:00
69,Massa Quisque Corporation (V2),vitae.risus@icloud.org,active,2,2021-03-21,2023-03-24,2021-03-20 00:00:00
71,Risus Nulla Institute (V2),nulla.aliquet@yahoo.org,active,2,2019-08-22,9999-01-01,2019-08-21 00:00:00
75,Lobortis Risus In Corp. (V2),risus.at@aol.ca,active,2,2007-04-29,9999-01-01,2007-04-28 00:00:00
77,Et Netus Et PC (V2),sapien.aenean@outlook.org,active,2,2007-03-23,9999-01-01,2007-03-22 00:00:00
79,Aliquet Odio Corp. (V2),et@hotmail.edu,active,2,2013-02-28,9999-01-01,2013-02-27 00:00:00
80,Phasellus LLC (V2),leo.elementum.sem@protonmail.net,closed,2,2019-12-24,9999-01-01,2019-12-23 00:00:00
88,Mi Felis Corporation (V2),lectus.pede@aol.ca,active,2,2014-02-09,9999-01-01,2014-02-08 00:00:00
92,Et Foundation (V2),montes.nascetur.ridiculus@outlook.net,active,2,2001-08-13,9999-01-01,2001-08-12 00:00:00
94,Curabitur Foundation (V2),cum.sociis.natoque@outlook.couk,active,2,2017-07-06,9999-01-01,2017-07-05 00:00:00
26,Velit Egestas Lacinia LLC (V3),gravida.praesent@google.com,active,3,2016-03-31,9999-01-01,2016-03-30 00:00:00
54,Fringilla Consulting (V3),egestas@aol.org,closed,3,2009-05-31,9999-01-01,2009-05-30 00:00:00
57,Auctor Odio A Company (V3),mauris.a@icloud.org,active,3,2021-03-14,9999-01-01,2021-03-13 00:00:00
60,A Company (V3),magnis.dis.parturient@yahoo.couk,closed,3,2007-10-19,2017-02-15,2007-10-18 00:00:00
69,Massa Quisque Corporation (V3),vitae.risus@icloud.org,active,3,2023-03-24,9999-01-01,2023-03-23 00:00:00
60,A Company (V4),magnis.dis.parturient@yahoo.couk,closed,4,2017-02-15,9999-01-01,2017-02-14 00:00:00
